Date,SKU_number,SoldCount
2018-12-19,2000002,3
2019-11-04,2000061,2
2019-12-05,2000118,3
2020-11-15,2000003,1
2020-09-24,2000078,3
2019-01-17,2000016,4
2020-06-11,2000127,1
2018-02-22,2000073,2
2020-04-29,2000013,3
2019-05-07,2000053,2
2019-01-03,2000013,6
2018-09-25,2000132,4
2020-03-25,2000094,4
2019-07-08,2000097,0
2020-07-18,2000127,1
2019-09-07,2000010,2
2019-11-17,2000095,2
2018-01-04,2000093,2
2019-05-19,2000031,3
2018-07-27,2000048,4
2020-03-24,2000099,4
2018-07-18,2000071,4
2019-11-21,2000129,4
2020-01-25,2000042,1
2020-04-28,2000139,3
2020-01-04,2000058,5
2018-11-24,2000084,2
2019-03-02,2000084,5
2020-05-19,2000065,1
2020-11-12,2000042,5
2019-01-22,2000034,3
2018-02-24,2000143,3
2020-08-28,2000006,3
2019-04-06,2000038,6
2020-11-02,2000016,4
2019-02-28,2000042,1
2020-03-27,2000118,4
2020-07-27,2000135,6
2020-07-21,2000099,4
2020-04-02,2000020,1
2019-07-07,2000024,2
2018-10-27,2000140,3
2020-02-16,2000080,1
2019-11-28,2000112,0
2020-03-27,2000099,4
2020-03-26,2000113,1
2020-12-24,2000095,3
2020-11-30,2000080,2
2018-11-13,2000056,3
2018-03-31,2000040,0
2020-07-23,2000072,1
2019-04-13,2000011,2
2019-02-06,2000040,3
2019-11-20,2000077,4
2020-06-14,2000111,4
2019-05-02,2000094,2
2020-11-29,2000147,2
2019-02-02,2000008,4
2019-06-04,2000040,2
2018-04-02,2000049,5
2018-11-18,2000057,3
2019-08-16,2000017,2
2020-08-14,2000141,2
2020-12-18,2000002,3
2019-01-02,2000036,0
2019-04-11,2000108,3
2020-07-18,2000131,3
2019-06-27,2000053,0
2019-03-30,2000029,2
2018-06-09,2000021,2
2019-07-27,2000009,3
2019-02-08,2000025,1
2018-12-14,2000027,3
2018-05-30,2000050,3
2018-06-03,2000013,1
2019-03-15,2000043,3
2018-09-19,2000082,0
2018-02-18,2000024,0
2020-02-24,2000083,1
2018-08-11,2000034,4
2020-05-31,2000040,3
2020-07-09,2000081,2
2019-07-29,2000011,4
2019-10-10,2000119,1
2020-06-29,2000071,4
2020-03-02,2000146,6
2019-09-05,2000006,1
2018-08-08,2000003,4
2018-12-17,2000112,2
2019-11-27,2000089,2
2018-02-08,2000073,2
2019-04-30,2000032,1
2018-08-14,2000032,2
2020-07-17,2000041,3
2019-01-01,2000002,4
2018-04-18,2000033,3
2018-06-04,2000104,3
2020-03-09,2000104,4
2018-12-08,2000142,6
2020-09-25,2000027,1
2020-11-20,2000056,1
2020-02-27,2000148,5
2018-11-20,2000053,5
2018-05-22,2000087,5
2020-04-07,2000028,3
2019-12-09,2000083,4
2020-11-26,2000121,2
2018-06-29,2000133,5
2020-04-22,2000011,1
2018-10-06,2000043,2
2019-04-21,2000034,4
2018-11-25,2000032,3
2019-02-02,2000113,5
2019-01-05,2000031,1
2018-08-18,2000022,4
2019-11-01,2000112,1
2019-01-03,2000079,2
2020-02-02,2000128,3
2019-04-12,2000010,2
2018-04-13,2000105,6
2019-01-13,2000037,1
2019-11-16,2000024,2
2018-03-23,2000010,2
2020-12-17,2000141,2
2018-01-26,2000000,4
2020-08-06,2000092,2
2018-09-12,2000106,4
2020-05-05,2000130,2
2020-12-14,2000121,1
2018-12-08,2000035,5
2020-11-05,2000070,3
2019-08-28,2000096,5
2019-12-11,2000144,6
2019-03-20,2000042,3
2018-09-19,2000136,0
2018-11-03,2000076,2
2018-08-03,2000005,1
2020-10-11,2000010,4
2020-12-10,2000010,3
2020-07-16,2000145,5
2019-10-22,2000135,5
2019-05-11,2000030,5
2018-08-07,2000109,3
2020-02-27,2000080,2
2020-09-01,2000039,2
2018-06-15,2000115,3
2018-11-24,2000041,4
2018-04-12,2000092,3
2020-10-05,2000144,2
2018-09-22,2000110,3
2020-06-07,2000012,2
2018-01-28,2000014,1
2019-04-01,2000009,2
2018-01-17,2000041,0
2019-09-30,2000114,3
2018-10-31,2000105,5
2018-02-08,2000086,6
2019-01-01,2000031,2
2020-05-02,2000062,7
2019-06-30,2000137,2
2018-12-14,2000095,5
2019-08-07,2000109,2
2018-04-09,2000009,2
2020-07-07,2000016,1
2020-03-29,2000011,1
2018-05-15,2000084,3
2020-05-11,2000144,7
2020-01-01,2000109,3
2020-08-19,2000117,3
2018-12-08,2000060,6
2019-12-30,2000029,5
2019-03-27,2000021,0
2018-03-12,2000006,4
2020-04-19,2000141,1
2020-12-09,2000135,0
2018-10-10,2000041,3
2018-04-26,2000133,2
2019-01-11,2000075,2
2019-05-19,2000117,1
2018-07-20,2000146,7
2018-03-06,2000008,2
2020-09-02,2000120,4
2020-08-05,2000052,1
2018-03-18,2000046,2
2019-06-07,2000129,2
2019-01-13,2000122,8
2020-10-02,2000075,1
2018-08-25,2000054,4
2020-01-27,2000130,1
2019-01-27,2000077,3
2020-06-06,2000048,3
2019-05-06,2000127,0
2020-09-17,2000117,2
2018-06-30,2000125,5
2018-03-08,2000057,3
2019-11-19,2000041,4
2020-10-12,2000081,1
2019-06-16,2000115,4
2019-11-10,2000026,3
2020-04-20,2000045,2
2020-07-16,2000115,4
2020-08-12,2000109,3
2019-05-13,2000129,2
2018-08-19,2000021,3
2020-10-04,2000100,5
2019-03-24,2000102,2
2018-11-20,2000069,0
2018-08-04,2000020,0
2018-04-09,2000023,1
2018-10-13,2000065,3
2019-06-30,2000134,4
2019-12-04,2000027,4
2019-10-22,2000069,2
2019-02-15,2000142,3
2020-05-09,2000050,4
2020-12-19,2000056,7
2019-01-16,2000099,6
2020-02-03,2000014,1
2018-07-07,2000078,5
2018-06-01,2000144,5
2020-06-18,2000005,3
2020-09-28,2000127,1
2018-06-05,2000055,2
2020-04-29,2000139,2
2019-12-14,2000068,3
2018-04-15,2000060,1
2019-08-08,2000009,4
2020-06-19,2000129,1
2020-02-11,2000074,1
2020-01-17,2000057,6
2020-11-27,2000053,2
2018-02-18,2000028,4
2020-05-09,2000099,2
2019-07-20,2000126,1
2019-03-23,2000116,2
2019-12-02,2000039,3
2020-12-01,2000130,8
2018-03-11,2000008,3
2018-02-26,2000121,4
2020-07-16,2000002,1
2020-05-15,2000140,2
2020-10-19,2000092,3
2019-11-30,2000138,1
2018-01-14,2000047,5
2018-06-30,2000115,4
2020-11-26,2000130,0
2019-10-01,2000021,2
2018-02-17,2000033,2
2018-11-06,2000073,4
2018-01-06,2000134,3
2020-04-20,2000113,3
2019-04-09,2000022,3
2019-04-18,2000045,4
2019-11-28,2000066,3
2019-09-20,2000022,2
2018-03-26,2000041,6
2019-12-29,2000104,1
2018-08-10,2000065,4
2020-05-20,2000108,3
2018-12-02,2000115,4
2019-11-08,2000051,3
2018-05-10,2000001,3
2020-05-06,2000034,3
2018-04-26,2000115,1
2020-04-23,2000111,6
2020-02-24,2000053,2
2020-07-13,2000123,3
2019-07-09,2000071,5
2019-08-22,2000134,2
2018-06-04,2000104,3
2019-04-28,2000029,3
2020-08-14,2000125,3
2020-07-01,2000057,3
2018-06-08,2000126,5
2020-06-26,2000030,1
2020-08-02,2000122,7
2020-11-25,2000077,4
2018-10-19,2000113,4
2020-04-20,2000100,2
2020-04-09,2000064,1
2019-03-11,2000105,1
2019-01-25,2000121,3
2019-09-11,2000129,0
2018-01-29,2000072,2
2019-05-21,2000110,2
2020-01-07,2000044,1
2019-09-01,2000134,1
2018-01-25,2000147,5
2020-06-09,2000120,2
2019-03-25,2000034,3
2018-12-22,2000023,4
2019-12-13,2000045,3
2018-06-30,2000074,4
2018-09-01,2000141,5
2020-11-14,2000144,2
2020-10-05,2000068,3
2020-12-10,2000065,4
2019-12-23,2000074,4
2018-03-20,2000123,4
2020-09-02,2000037,0
2020-01-23,2000110,3
2018-06-30,2000047,2
2018-05-09,2000011,3
2020-03-23,2000130,4
2019-05-21,2000057,4
2019-08-30,2000068,2
2019-01-26,2000007,9
2020-01-24,2000055,5
2019-03-04,2000055,4
2020-09-04,2000044,6
2018-07-15,2000116,1
2020-10-18,2000082,1
2018-11-29,2000010,5
2018-04-21,2000018,4
2020-06-25,2000063,4
2019-07-13,2000101,5
2018-07-03,2000057,3
2018-07-09,2000122,1
2019-01-28,2000017,5
2019-03-24,2000039,2
2018-08-18,2000076,0
2018-10-11,2000077,2
2019-02-21,2000014,3
2020-03-22,2000023,0
2020-01-23,2000132,2
2018-05-07,2000131,3
2019-08-29,2000142,2
2019-03-18,2000053,3
2020-04-17,2000146,4
2019-05-28,2000087,4
2019-05-23,2000070,3
2020-06-25,2000096,5
2018-09-20,2000062,0
2020-04-25,2000134,3
2019-03-09,2000098,3
2018-04-26,2000124,5
2019-01-16,2000087,4
2019-01-31,2000033,0
2019-05-08,2000118,2
2018-05-08,2000130,3
2019-12-28,2000097,5
2018-02-20,2000022,4
2018-12-12,2000072,5
2019-02-07,2000048,3
2020-03-13,2000138,1
2018-08-27,2000108,5
2019-03-21,2000017,2
2019-11-06,2000020,0
2019-01-10,2000110,0
2018-12-30,2000000,6
2018-10-16,2000119,6
2019-06-15,2000088,2
2018-06-21,2000123,2
2018-11-14,2000100,4
2020-04-24,2000132,3
2018-08-25,2000128,4
2018-11-08,2000009,4
2020-11-04,2000081,2
2020-04-14,2000125,2
2019-10-12,2000072,3
2019-12-24,2000019,2
2018-04-11,2000069,2
2018-07-18,2000016,4
2019-08-01,2000021,1
2019-01-20,2000129,1
2019-04-17,2000133,5
2018-12-03,2000121,2
2019-09-16,2000022,4
2020-01-20,2000114,5
2019-01-04,2000106,2
2020-05-23,2000091,2
2020-06-07,2000110,4
2018-07-13,2000092,5
2020-05-19,2000089,6
2019-06-27,2000071,3
2018-07-24,2000067,3
2020-01-16,2000025,3
2018-01-14,2000044,0
2020-08-06,2000002,2
2020-06-11,2000112,1
2020-03-03,2000004,2
2018-08-30,2000139,3
2018-12-17,2000075,6
2018-04-16,2000118,1
2020-03-05,2000022,4
2020-03-07,2000024,4
2019-06-15,2000072,1
2020-08-30,2000111,5
2019-10-11,2000042,1
2018-05-25,2000114,0
2018-08-10,2000131,5
2019-11-16,2000137,5
2020-04-03,2000110,3
2020-07-01,2000064,3
2020-12-15,2000131,6
2020-11-28,2000125,4
2018-10-08,2000039,2
2018-11-22,2000082,3
2018-03-17,2000027,2
2019-06-09,2000122,3
2020-03-16,2000023,0
2019-12-24,2000062,1
2020-02-03,2000037,5
2020-10-13,2000014,4
2020-05-27,2000114,0
2018-10-05,2000125,2
2019-04-13,2000137,3
2018-01-17,2000107,3
2019-12-14,2000103,3
2018-01-01,2000145,3
2019-12-04,2000048,3
2020-12-25,2000030,1
2020-08-31,2000059,3
2020-04-29,2000057,1
2019-05-22,2000050,4
2020-01-21,2000030,7
2019-04-08,2000132,3
2020-10-18,2000051,4
2018-11-05,2000020,2
2018-09-20,2000079,1
2020-07-01,2000080,6
2018-09-30,2000119,1
2019-09-02,2000092,2
2020-08-07,2000130,4
2020-04-18,2000078,1
2018-10-19,2000028,4
2018-05-11,2000040,1
2019-12-05,2000012,0
2020-12-24,2000126,3
2018-03-27,2000074,3
2019-11-06,2000108,4
2018-01-03,2000113,3
2018-03-30,2000136,3
2019-04-06,2000081,4
2020-08-06,2000073,2
2019-10-21,2000113,4
2019-01-15,2000004,2
2020-05-14,2000131,3
2019-11-15,2000033,1
2018-11-08,2000093,4
2020-07-13,2000057,1
2020-01-18,2000044,3
2018-12-28,2000013,2
2018-12-25,2000076,0
2020-04-04,2000091,1
2018-06-11,2000003,1
2019-03-04,2000066,2
2020-11-25,2000041,1
2020-02-23,2000080,3
2019-07-21,2000136,3
2019-03-23,2000015,1
2019-08-01,2000051,4
2020-03-01,2000079,3
2018-03-06,2000096,1
2020-06-26,2000049,3
2018-02-24,2000128,3
2019-06-24,2000025,0
2020-06-17,2000024,2
2018-12-28,2000026,3
2019-08-20,2000017,5
2020-02-25,2000116,2
2020-02-21,2000105,2
2019-01-13,2000025,3
2018-04-24,2000136,2
2020-02-14,2000095,5
2019-01-06,2000053,4
2018-01-08,2000127,2
2018-07-07,2000094,3
2018-03-16,2000070,1
2018-04-09,2000044,3
2018-06-05,2000078,2
2019-11-17,2000080,2
2020-03-28,2000084,3
2020-11-23,2000094,2
2019-07-18,2000073,1
2020-03-11,2000065,5
2019-09-06,2000116,1
2018-11-27,2000067,0
2020-03-10,2000105,7
2018-04-25,2000105,3
2019-08-09,2000066,5
2020-11-19,2000148,4
2019-07-17,2000121,2
2020-12-28,2000067,4
2020-01-25,2000079,3
2019-01-03,2000042,1
2018-06-12,2000072,4
2019-10-23,2000107,3
2018-10-20,2000060,1
2018-10-21,2000031,3
2020-05-23,2000071,1
2018-11-24,2000138,3
2018-11-30,2000100,2
2019-10-26,2000042,2
2018-07-02,2000148,4
2019-01-05,2000050,3
2018-06-04,2000016,2
2020-08-11,2000061,0
2018-11-20,2000023,4
2018-07-26,2000039,3
2018-02-23,2000056,2
2018-10-25,2000083,4
2019-01-07,2000129,2
2020-06-24,2000134,6
2018-12-27,2000137,1
2018-01-24,2000046,1
2019-06-17,2000127,4
2020-12-09,2000134,0
2018-11-08,2000095,6
2019-11-12,2000009,3
2020-02-02,2000142,1
2018-07-04,2000028,2
2018-11-02,2000138,2
2018-12-26,2000056,4
2018-12-27,2000119,3
2019-03-25,2000135,6
2018-06-17,2000029,6
2020-08-27,2000139,5
2020-12-23,2000062,3
2020-03-09,2000049,6
2018-03-23,2000093,4
2019-01-05,2000097,6
2018-09-30,2000096,4
2019-10-31,2000055,3
2019-06-24,2000057,3
2019-05-15,2000079,2
2018-07-26,2000085,3
2018-10-10,2000098,4
2019-05-10,2000001,1
2020-01-12,2000018,1
2018-08-11,2000070,5
2018-04-11,2000033,3
2020-10-26,2000034,2
2019-10-09,2000094,4
2019-06-13,2000124,4
2020-06-24,2000104,4
2018-08-10,2000140,3
2020-02-25,2000100,4
2018-09-06,2000103,1
2018-12-26,2000072,7
2018-11-17,2000036,4
2020-12-07,2000130,4
2018-12-20,2000001,6
2020-04-03,2000010,5
2019-03-17,2000049,1
2019-01-12,2000129,2
2020-01-19,2000083,5
2019-08-31,2000114,1
2019-12-09,2000015,2
2019-02-26,2000074,2
2020-08-27,2000039,4
2019-01-22,2000128,3
2018-06-15,2000058,1
2018-07-02,2000109,2
2019-01-11,2000020,1
2019-09-25,2000132,4
2019-12-12,2000144,2
2019-06-12,2000125,2
2020-11-30,2000030,2
2020-12-13,2000093,8
2019-06-11,2000094,2
2020-12-12,2000024,2
2019-10-29,2000073,3
2018-11-19,2000135,2
2020-03-10,2000116,1
2019-09-02,2000050,0
2020-11-28,2000112,6
2018-06-13,2000045,0
2019-06-04,2000120,3
2020-12-02,2000023,3
2018-10-24,2000065,2
2020-09-19,2000032,4
2018-12-07,2000022,1
2018-02-22,2000013,3
2020-12-07,2000131,2
2019-02-10,2000026,3
2020-07-04,2000012,1
2019-01-19,2000008,3
2019-06-22,2000136,2
2019-08-01,2000120,0
2019-06-10,2000117,5
2020-01-30,2000051,1
2018-03-29,2000070,2
2019-06-19,2000070,2
2020-12-21,2000028,2
2020-03-29,2000134,4
2020-03-01,2000070,3
2019-03-25,2000064,1
2018-02-02,2000076,4
2018-08-18,2000099,8
2020-12-06,2000042,3
2019-04-28,2000036,5
2018-08-18,2000008,3
2020-05-17,2000143,3
2018-07-20,2000001,6
2020-05-14,2000099,2
2020-09-06,2000062,3
2018-08-01,2000080,3
2020-12-28,2000112,0
2019-10-26,2000105,3
2018-12-05,2000085,5
2018-11-17,2000010,2
2020-04-04,2000041,5
2020-08-09,2000103,3
2018-08-14,2000057,2
2018-02-21,2000103,3
2019-07-02,2000042,4
2018-06-30,2000097,1
2018-06-12,2000001,3
2018-07-14,2000105,4
2018-09-11,2000054,1
2018-04-16,2000089,3
2020-03-13,2000121,2
2019-12-29,2000129,2
2019-10-11,2000076,2
2020-08-16,2000107,5
2019-03-16,2000147,1
2019-10-01,2000098,2
2019-11-26,2000081,5
2018-02-01,2000086,2
2019-08-28,2000115,4
2019-01-21,2000072,3
2020-12-20,2000136,0
2020-04-24,2000090,1
2018-02-24,2000121,1
2018-11-23,2000073,2
2019-06-01,2000091,2
2018-09-30,2000119,4
2019-06-03,2000134,1
2018-05-21,2000139,8
2019-08-18,2000040,5
2020-12-13,2000055,3
2018-10-07,2000126,4
2019-02-11,2000114,1
2020-03-16,2000022,4
2018-03-23,2000011,2
2018-07-24,2000042,2
2019-05-06,2000038,6
2020-12-08,2000094,3
2019-10-26,2000051,2
2018-12-02,2000093,3
2020-11-18,2000117,0
2019-09-02,2000093,3
2019-02-25,2000141,3
2020-11-23,2000041,3
2019-09-05,2000043,2
2018-11-20,2000145,2
2018-05-19,2000053,4
2018-06-02,2000010,1
2018-12-06,2000080,3
2019-07-31,2000040,4
2018-12-10,2000112,3
2019-04-26,2000144,8
2019-11-11,2000110,1
2019-10-20,2000053,5
2018-05-22,2000145,2
2020-02-08,2000006,3
2018-04-07,2000058,2
2020-06-06,2000111,1
2020-07-04,2000009,7
2020-04-24,2000136,4
2018-07-19,2000066,3
2019-03-28,2000081,1
2019-10-18,2000044,6
2019-12-28,2000017,2
2019-01-25,2000002,2
2018-05-01,2000001,7
2019-03-13,2000061,2
2019-10-31,2000003,3
2018-07-19,2000116,3
2018-12-21,2000121,6
2018-05-13,2000120,0
2020-12-16,2000145,6
2019-05-30,2000132,1
2019-09-16,2000105,4
2018-03-04,2000147,1
2019-04-10,2000082,4
2019-07-20,2000122,4
2020-06-02,2000057,8
2019-03-09,2000029,0
2019-01-08,2000111,2
2020-05-06,2000131,4
2019-08-25,2000058,3
2019-12-18,2000082,4
2020-03-26,2000004,2
2019-11-22,2000086,4
2020-03-14,2000140,3
2018-11-15,2000049,7
2018-01-16,2000072,4
2018-06-11,2000077,3
2018-04-30,2000031,2
2019-07-03,2000105,6
2018-12-28,2000060,2
2020-12-05,2000014,1
2019-11-28,2000141,1
2019-03-12,2000043,3
2018-12-13,2000138,4
2018-07-08,2000047,4
2018-10-16,2000090,2
